sample	clade
ARG0249	Clade 2
ARG0233	Clade 2
ARG0236	Clade 2
ARG0237	Clade 2
ARG0239	Clade 2
ARG0240	Clade 2
ARG0250	Clade 2
ARG0101	Clade 2
ARG0106	Clade 2
ARG0102	Clade 2
ARG0104	Clade 2
ARG0109	Clade 2
ARG0108	Clade 2
ARG0103	Clade 2
ARG0110	Clade 2
ARG0105	Clade 2
ARG0121	Clade 2
ARG0125	Clade 2
ARG0122	Clade 2
ARG0128	Clade 2
ARG0129	Clade 2
ARG0168	Clade 2
ARG0123	Clade 2
ARG0124	Clade 2
ARG0126	Clade 2
ARG0127	Clade 2
ARG0130	Clade 2
ARG0167	Clade 2
ARG0164	Clade 2
ARG0170	Clade 2
ARG0185	Clade 2
ARG0261	Clade 2
ARG0291	Clade 2
ARG0021	Clade 2
ARG0023	Clade 2
ARG0025	Clade 2
ARG0022	Clade 2
ARG0026	Clade 2
ARG0029	Clade 2
ARG0024	Clade 2
ARG0030	Clade 2
ARG0027	Clade 2
ARG0028	Clade 2
ARG0181	Clade 2
ARG0190	Clade 2
ARG0183	Clade 2
ARG0184	Clade 2
ARG0187	Clade 2
ARG0189	Clade 2
ARG0182	Clade 2
ARG0188	Clade 2
ARG0186	Clade 2
ARG0091	Clade 2
ARG0175	Clade 2
ARG0172	Clade 2
ARG0095	Clade 2
ARG0174	Clade 2
ARG0097	Clade 2
ARG0176	Clade 2
ARG0173	Clade 2
ARG0177	Clade 2
ARG0096	Clade 2
ARG0178	Clade 2
ARG0180	Clade 2
ARG0169	Clade 2
ARG0193N	Clade 2
ARG0200	Clade 2
ARG0196	Clade 2
ARG0198	Clade 2
ARG0234	Clade 2
ARG0278N	Clade 2
ARG0242	Clade 2
ARG0244	Clade 2
ARG0246	Clade 2
ARG0257	Clade 2
ARG0259	Clade 2
ARG0258	Clade 2
ANN1401	Clade 2
ANN1402	Clade 2
ANN1406	Clade 2
ANN1408	Clade 2
ANN1409	Clade 2
ARG0086	Clade 2
ARG0094	Clade 2
ARG0098	Clade 2
ARG0100	Clade 2
ARG0090	Clade 2
ANN1410	Clade 2
ARG0076	Clade 2
ARG0132	Clade 2
ARG0144	Clade 2
ARG0139	Clade 2
ARG0143	Clade 2
ARG0145	Clade 2
ARG0148	Clade 2
ARG0149	Clade 2
ARG0085	Clade 2
ARG0116	Clade 2
ARG0135	Clade 2
ARG0111	Clade 2
ARG0117	Clade 2
ARG0134N	Clade 2
ARG0140	Clade 2
ARG0138	Clade 2
ARG0141	Clade 2
ARG0142	Clade 2
ARG0131	Clade 2
ARG0136N	Clade 2
ARG0133	Clade 2
ARG0137	Clade 2
ARG0146	Clade 2
ARG0147	Clade 2
ARG0195	Clade 2
